,,precision,precision,recall,recall,f1,f1
,,mean,std,mean,std,mean,std
model,strategy,,,,,,
Random Forest,No oversampling (class_weight=balanced),0.6792506185936322,0.023531784770746453,0.7258730868932212,0.026037113494895833,0.6936257761394224,0.02345046320389192
Random Forest,Random oversampling,0.6833187600017515,0.023457544927737273,0.7292411491069208,0.02142486283668317,0.6976276789024892,0.022557337539904788
Random Forest,Random undersampling,0.6661556354460811,0.020750556927466104,0.711378715244487,0.019303362005719086,0.6794545640792737,0.021498241708348787
Random Forest,SMOTE,0.6709984161979301,0.023644781323265366,0.7110430737544832,0.019686403364721796,0.6836283000273009,0.022246850051145708
SVM,No oversampling (class_weight=balanced),0.6560195401776271,0.01962738346836278,0.7000768438620788,0.030280009799159898,0.6659855968672097,0.021856091280024408
SVM,Random oversampling,0.6566511021022751,0.016150057102632138,0.7083853556336778,0.018453127360777918,0.6690728676959661,0.017805302213314
SVM,Random undersampling,0.6452918571615629,0.010132126367801315,0.6945682326621924,0.020703099809038818,0.6551061401126155,0.013127224414102183
SVM,SMOTE,0.6328026983464964,0.0637475744832182,0.6770417243705834,0.08446622960172663,0.6400915853089881,0.0674584024159232
