mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__kernel,param_svc__gamma,param_svc__class_weight,param_svc__C,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.16806753476460776,0.09825968763945514,0.023603518803914387,0.006372557587571272,rbf,0.001,balanced,3.0,RobustScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.001, 'svc__class_weight': 'balanced', 'svc__C': 3.0, 'scaler': RobustScaler()}",0.646067477635528,0.6289034778630862,0.630846325821858,0.6352724271068241,0.0076743512857517385,67
0.14589142799377441,0.09566552132993392,0.020252307256062824,0.007019163962256606,rbf,scale,balanced,3.0,StandardScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 'scale', 'svc__class_weight': 'balanced', 'svc__C': 3.0, 'scaler': StandardScaler()}",0.6653093175254597,0.6800279388278048,0.6969762949563973,0.6807711837698873,0.01293866749156255,15
0.1292877197265625,0.08495394838148518,0.021130482355753582,0.007665639420999488,rbf,0.003,"{0: 1.0, 1: 1.0, 2: 1.5}",10.0,RobustScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.003, 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.5}, 'svc__C': 10.0, 'scaler': RobustScaler()}",0.634819975069342,0.6851070026319196,0.6699042905939457,0.6632770894317357,0.021057637279669004,43
0.1306323210398356,0.08525069757006987,0.020600239435831707,0.007845436537944733,rbf,0.001,"{0: 1.0, 1: 1.0, 2: 1.1}",30.0,RobustScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.001, 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.1}, 'svc__C': 30.0, 'scaler': RobustScaler()}",0.6281218683764777,0.7044382977184799,0.6779273810837657,0.6701625157262411,0.03163615228809775,34
0.13355024655659994,0.08294213143314982,0.02264825503031413,0.008112657786903465,rbf,0.001,"{0: 1.0, 1: 1.0, 2: 1.2}",3.0,StandardScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.001, 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.2}, 'svc__C': 3.0, 'scaler': StandardScaler()}",0.6072242381316649,0.6722446056047989,0.6552295986596516,0.6448994807987051,0.027531140524275764,62
0.1524031162261963,0.10481329967740298,0.025249640146891277,0.008724991178053651,rbf,0.001,"{0: 1.0, 1: 1.0, 2: 1.2}",10.0,RobustScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.001, 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.2}, 'svc__C': 10.0, 'scaler': RobustScaler()}",0.6110480518967899,0.675630469252101,0.6526201371303331,0.6464328860930747,0.026726188335444056,61
0.1452366511027018,0.08633306700828307,0.025247971216837566,0.009263747183878953,rbf,0.003,"{0: 1.0, 1: 1.0, 2: 1.1}",1.0,StandardScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.003, 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.1}, 'svc__C': 1.0, 'scaler': StandardScaler()}",0.6217050275336043,0.6770397659885531,0.6558842941278639,0.6515430292166737,0.02279792762133207,59
0.13600643475850424,0.0827701066467929,0.020871480305989582,0.007304098819412712,rbf,0.003,"{0: 1.0, 1: 1.0, 2: 1.2}",3.0,StandardScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.003, 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.2}, 'svc__C': 3.0, 'scaler': StandardScaler()}",0.6367282544346602,0.6763251961341196,0.6668957722385142,0.659983074269098,0.016888230475686793,45
0.1553342342376709,0.09277869508788993,0.024038394292195637,0.00671885430141829,rbf,0.001,"{0: 1.0, 1: 1.0, 2: 1.5}",3.0,RobustScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.001, 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.5}, 'svc__C': 3.0, 'scaler': RobustScaler()}",0.5847624798711756,0.6529586258551422,0.6308980831700098,0.6228730629654425,0.02841336884554413,69
0.15413697560628256,0.10319655528049726,0.020291884740193684,0.007659097361217362,rbf,0.01,"{0: 1.0, 1: 1.0, 2: 1.1}",30.0,StandardScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.01, 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.1}, 'svc__C': 30.0, 'scaler': StandardScaler()}",0.6708145840544595,0.7163821336779469,0.7020367361317995,0.6964111512880686,0.019023420622971708,2
0.13857698440551758,0.08811832310317917,0.02087712287902832,0.006721897669519587,rbf,0.01,balanced,10.0,StandardScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.01, 'svc__class_weight': 'balanced', 'svc__C': 10.0, 'scaler': StandardScaler()}",0.6494439443944394,0.6729176234182606,0.689740873783427,0.6707008138653756,0.016525663133251937,33
0.3681127230326335,0.24494055164657083,0.019107580184936523,0.007225137443188966,rbf,scale,"{0: 1.0, 1: 1.0, 2: 1.5}",100.0,RobustScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 'scale', 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.5}, 'svc__C': 100.0, 'scaler': RobustScaler()}",0.516121644461448,0.5470577959409398,0.5473197408050487,0.5368330604024788,0.014645573085173735,77
0.16176549593607584,0.09986261843024598,0.032729148864746094,0.015156277198293261,rbf,scale,"{0: 1.0, 1: 1.0, 2: 1.5}",1.0,RobustScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 'scale', 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.5}, 'svc__C': 1.0, 'scaler': RobustScaler()}",0.6166362510448532,0.6714905511775177,0.6847646648786031,0.6576304890336581,0.0294895030459926,49
0.17080378532409668,0.11701839275200353,0.020834048589070637,0.005896309920195316,rbf,0.003,"{0: 1.0, 1: 1.0, 2: 1.1}",100.0,RobustScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.003, 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.1}, 'svc__C': 100.0, 'scaler': RobustScaler()}",0.6595657118260054,0.7107915144189997,0.7246510208838975,0.6983360823763008,0.027992590737765465,1
0.18215600649515787,0.1206903880973357,0.02799232800801595,0.013983972088944894,rbf,0.03,balanced,30.0,StandardScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.03, 'svc__class_weight': 'balanced', 'svc__C': 30.0, 'scaler': StandardScaler()}",0.6435414254132014,0.6779556412729026,0.6784487874817109,0.6666486180559383,0.01634049289683418,39
0.21998985608418783,0.14568876655133142,0.019711891810099285,0.00758814224114383,rbf,scale,"{0: 1.0, 1: 1.0, 2: 1.2}",30.0,StandardScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 'scale', 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.2}, 'svc__C': 30.0, 'scaler': StandardScaler()}",0.6314748679994228,0.6420668285770925,0.6926286202629833,0.6553901056131662,0.02668429796982002,54
0.1483919620513916,0.1014551916917209,0.025417804718017578,0.009100454185266045,rbf,0.03,"{0: 1.0, 1: 1.0, 2: 1.2}",1.0,RobustScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.03, 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.2}, 'svc__C': 1.0, 'scaler': RobustScaler()}",0.6293828637742137,0.6742092724940444,0.6592445869545241,0.6542789077409275,0.01863411221780435,57
0.22073149681091309,0.15593856152618693,0.019757588704427082,0.007293512926249209,rbf,scale,"{0: 1.0, 1: 1.0, 2: 1.1}",30.0,RobustScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 'scale', 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.1}, 'svc__C': 30.0, 'scaler': RobustScaler()}",0.5732727453091889,0.6019044486982653,0.6236380903047569,0.5996050947707371,0.020625748721661414,71
0.15283282597859701,0.113754832242407,0.025781869888305664,0.013615161936488103,rbf,0.0003,"{0: 1.0, 1: 1.0, 2: 1.5}",30.0,StandardScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.0003, 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.5}, 'svc__C': 30.0, 'scaler': StandardScaler()}",0.6236599731631877,0.6790045495241382,0.6645703259178436,0.6557449495350566,0.02344029272238531,53
0.14162675539652506,0.08576008236913621,0.02110751469930013,0.0060210135204892615,rbf,0.001,"{0: 1.0, 1: 1.0, 2: 1.5}",100.0,RobustScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.001, 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.5}, 'svc__C': 100.0, 'scaler': RobustScaler()}",0.6554905825080738,0.6928805146322595,0.6846119272348781,0.6776610081250705,0.016036171891822572,20
0.13837798436482748,0.0925966109515629,0.022600889205932617,0.006089934189928055,rbf,0.001,"{0: 1.0, 1: 1.0, 2: 1.5}",30.0,StandardScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.001, 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.5}, 'svc__C': 30.0, 'scaler': StandardScaler()}",0.6536960762396129,0.6938266060844862,0.6758077185049925,0.6744434669430306,0.016411596370672448,23
0.15750336647033691,0.09776246782905265,0.022440115610758465,0.00669156884338482,rbf,scale,balanced,3.0,RobustScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 'scale', 'svc__class_weight': 'balanced', 'svc__C': 3.0, 'scaler': RobustScaler()}",0.6379112911291128,0.6770761207423762,0.7009903094808755,0.6719925737841215,0.026001570161730467,26
0.319901704788208,0.21322047094448635,0.024204095204671223,0.00895705268224859,rbf,scale,,100.0,RobustScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 'scale', 'svc__class_weight': None, 'svc__C': 100.0, 'scaler': RobustScaler()}",0.5072519990749021,0.5893530084072076,0.562823658688783,0.5531428887236309,0.034209471531380216,73
0.14551695187886557,0.09372045640419929,0.02423095703125,0.01002278563506209,rbf,0.003,"{0: 1.0, 1: 1.0, 2: 1.5}",1.0,StandardScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.003, 'svc__class_weight': {0: 1.0, 1: 1.0, 2: 1.5}, 'svc__C': 1.0, 'scaler': StandardScaler()}",0.6094115904951019,0.6628530113765049,0.662206487608992,0.6448236964935329,0.025041531325361317,63
0.1426677703857422,0.08910344759236521,0.020755211512247723,0.006516158665076474,rbf,0.003,balanced,30.0,RobustScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.003, 'svc__class_weight': 'balanced', 'svc__C': 30.0, 'scaler': RobustScaler()}",0.6492632582748862,0.6753380502411591,0.6855457742610763,0.6700490275923738,0.015277119318478824,35
0.13829549153645834,0.09634970418345683,0.020754178365071613,0.006667895972374907,rbf,0.01,,3.0,RobustScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.01, 'svc__class_weight': None, 'svc__C': 3.0, 'scaler': RobustScaler()}",0.6319054444054445,0.7094593305458994,0.6849796673665914,0.6754481474393118,0.03237065253141861,21
0.15218520164489746,0.09836154441039595,0.020311435063680012,0.006420918752379248,rbf,0.003,,100.0,StandardScaler(),"{'svc__kernel': 'rbf', 'svc__gamma': 0.003, 'svc__class_weight': None, 'svc__C': 100.0, 'scaler': StandardScaler()}",0.6716857937251354,0.7050826752825193,0.7105763215361985,0.6957815968479512,0.017185281171014966,3
